"Name","Botanical_Name","System_Affected","Properties","Description","Origin","Notes","Toxicity","Dosage","Type"
"Horsebalm","Monarda, various species","brain, altitude sicknes, blood thinner, wounds","altitude sickness¤potent blood thinner¤brain, Alzheimer's¤Applied externally as a tincture (crush leaves, mix with ¤alcohol): wounds, cuts; antiseptic","","","A few drops may be mixed in shampoo for use","don't take with other blood thinners","","Herb"
"Purslane (Little-Hogweed)","Portulaca Oleracea","excretory, antioxidant, skin, blood, asthma, MS","bladder, kidney¤antioxidant, vitamins A, C, E¤prevents cataracts & heart disease¤angina, asthma, bursitis, MS, tendons¤arrhythmia, chronic fatigue syndrome¤depression, gingivitis, headache¤high blood pressure, intermittent claudication¤psoriasis, skin, shingles, wrinkles (in salad or as facial ¤mask)¤yeast infections","","","good source of magnesium, vitamins A,C,E, Omega-3","none","","Herb"
"Minnieroot","","bladder","bladder","","","","","","Herb"
"Nightshade, (Belladonna)","Atropa Belladonna","bladder, eye, skin, pain, sedative, inflamation","Black Garden: bladder, eye, skin¤Deadly Nightshade: diuretic, pain reliever, sedative, ¤depresses sensory nerve endings, sluggish kidney, night ¤sweat, cough, whooping coughs, semen loss (spermatorrhea), ¤circulation, poison cure for depressants, gout, rheumatic ¤inflamation (apply directly)","root & leaves of plant ","","","deadly nightshade in large quantities","","Herb"
"Ruby Sandspurry","","excretory","bladder, kidney","","","","","","Herb"
"Goat's Rue","Galega Officinalis","diuretic, intestinal worm, increased milk flow","diuretic, increased kidney activity¤destroys worms in intestinal tract¤Promotes milk flow in nursing mother¤Amenorrhea (lack of menstruation)","","","","Avoid during Pregnancy","5-20 grains powdered herb","Herb"
"Manonu","","groin, stomach","groin, scrotum¤stomach","","","","","","Herb"
"Dayflower, Climbing","","groin","groin","","","","","","Herb"
"Gumbo-Limbo","","Intestine, kneecap","Intestine¤kneecap","","","","","","Herb"
"Chives","Allium Schoenoprasum","blood, urethra","blood¤Chinese Chives: urethra","","","","","","Herb"
"Evergreen Traveler's-Joy","","blood, kidney","blood¤kidney","","","","","","Herb"
"Carrot Seed(Queen Anne's-Lace)","Daucus Carota","blood, chest, gastrointestine, kidney,liver,uterus","stomach, intestine¤uterus, Amenorrhea, morning after contraceptive¤kidney, liver¤blood¤chest¤vision","","","","","","Herb"
"European Beech","","blood","blood","","","","","","Herb"
"Bitterwort (Bitter Root)","","blood, heart","blood, heart","","","","","","Herb"
"Ground Ivy (Ale Hoof)","Glechoma Hederacea","blood, kidney, ulcer","blood purifier¤kidney problems, indigestion¤poultice for ulcers and cancers","low creeper","","makes a tea called Gill tea","","","Herb"
"Mountain Laurel (Leatherleaf)","","blood, eye, skin, stomach","Grenbrier, Mountain:  blood¤Alexandrian, Mountain: eye.¤Mountain: skin¤California: stomach","","","Mountain Laurel also called: leatherleaf","","","Herb"
"White Ratany","","blood, skin, stomach","blood¤skin¤stomach","","","","","","Herb"
"Oregon Tea","","blood","blood","","","","","","Herb"
"Wolfsbane (Aconite, Monkshood)","Aconitum Napellus","pain, sedative/depressant, fever, stomach, heart","reduce pain¤fever, scarlet fever¤gastritis¤facial nerve pains¤tonsils¤heart palpitation & spasm","dried tuberous root of plant","","","too depressive to heart in excess","take 1-2 drops in a cup water","Herb"
"Nettle, Stinging","Urtica Dioica","blood, chest,allergy,Alzheimer's,arthritis, joints","prostate, decreases excess urination¤blood¤chest,asthma,bronchitis, hay fever, cough, TB, laryngitis¤allergic nasal symptoms¤Alzheimer's¤arthritis¤liver, toxins¤prevention/treatment of kidney stones, diuretic, bladder¤gout, rheumatism¤gum disease¤hives (take orally as extract or tea from leaves)¤PMS, bloating, breast tenderness.¤sciatica, MS (slap fresh branch repeatedly against bare ¤skin so nettles sting)¤As a tincture: prevents baldess","roots and leaves","","juice from roots & leaves w/ honey makes a tea","","","Herb"
"Small-Whorl Mallow","","bones, skin","bones, skin","","","","","","Herb"
"Wakas","","bones, chest","bones, chest","","","","","","Herb"
"Randia Aculeata","","bones","bones","","","","","","Herb"
"Flat Sedge, Purple or Papyrus","","bowels, eyes","bowels¤Papyrus Flat Sedge: eyes","","","","","","Herb"
"Sacred Fig(Pipal Tree,Bo-Tree)","Ficus Religiosa","bowels, skin","bowels, skin¤anti-bacterial properties","","India","sacred to Hindus and Buddhists","","","Herb"
"Brown Rice, Rice","","bowels, skin","bowels & intestines, cleansing of such¤skin","","","","","","Herb"
"Mayapple","Podophyllum Peltatum","bowels, liver, syphilis","bowels, liver¤cancer¤hepatitis, syphilis","","","","Avoid during Pregnancy","","Herb"
"Spinach","Spinach Oleracea","bowels, muscular development, antioxidant","bowels¤muscular development¤male infertility¤source of anti-oxidants, folic acid, zinc¤eyes¤eases birthing difficulties¤prevents stroke & heart attack¤tinnitus, hearing loss","","","high in zinc and folate","","","FruitVeggy"
"Zosima Oriantalis","Zosima Orientalis","bowels","bowels","","","","","","Herb"
"Pimpernel (Scarlet Pimpernel)","Anagallis Arvensis","brain","brain","","","","","","Herb"
"Simple-Leaf Chastetree","Vitex Agnus-Castus","brain, chest, feet, eyes","brain, memory¤chest¤feet¤eyes¤seed extract: regulate menstrual bleeding¤Lilac Chastetree: eyes","","","","","","Herb"
"Colic Root","","breast","breast","","","","","","Herb"
"King Fern(OrientalVessel Fern)","","breast","breast","","","","","","Herb"
"Quince (Golden Apple)","Cydonia Oblonga, Pyrus Cydonia, Rose family","skin, diarrhea, breast, hair dressing","breast¤diarrhea, dysentary¤Lotion (2 parts seed to 100 parts water): eye diseases ¤(conjunctivitis), skin (conbtracts wrinkles), hair ¤dressing for holding stray hairs¤Heals skin abrasions (macerated seeds mixed with water ¤applied directly)","seeds of shrub","Asia, USA, Europe","Quince, when ripe, is a nutritious edible fruit","none","","Herb"
"Small Leafed Fig","","breast","breast","","","also called: polynesian banyan, strangler fig","","","Herb"
"Cranesbill, Sticky Purple","Geranium Maculatum","breast,astringent,diarrhea,gargle,bleeding,canker","breast¤astringent; high tannin content¤diarrhea, piles, dysentery¤gargle¤cancer¤stops bleeding wounds¤canker and mouth sores","rose-purple flowers","","also called: Wild Geranium;need frost to germinate","","","Herb"
"Bracken Fern","","breast, stomach","breast, stomach","","","","","","Herb"
"Castor Bean (Castor Oil Plant)","Ricinus Communis","chest,coughs,bowels,colic,diarrhea,itches/skin","poltice to breasts to increase milk secretion¤womb¤chest, coughs, colic, diarrhea¤bowel prugative (mild action)¤Externally: itches, ringworm, cutaneous complaints, warts, ¤wrinkles","","","usually taken as Castor Oil","","1-4 tsp","Herb"
"Almond (Tropical, Sweet)","Prunus Dulcis","breast, ear, intestine, skin","Alomnd oil (massage in): skin, wrinkles¤Tropical:¤  breast, ear, intestine¤Sweet:¤  lungs","","","","","","Herb"
"Broom Grass (Bouquet-Grass)","","Breast","breast","","","","","","Herb"
"Phaeanthus Ebracteolatus","Phaeanthus Ebracteolatus","wrist","wrist/joint","","","","","","Herb"
"Onion","Allium Cepa","chest, ear, tumors, colds, allergies, eyes, skin","antioxidant(quercetin), HIV¤chest, ear¤diuretic¤lowers blood pressure¤pneumonia¤varicose veins¤Prevents cataracts in people w/ diabetes, retinopathy¤Roasted: poultice for tumors, ulcers with pus formation; ¤placed against ear is food for earaches¤Juice w/ honey: cough cure¤boiled onion, eaten: relieves colds.¤sinus,allergy¤angina¤TB¤Onion Skins: bowels, scabies (external)¤Externally: burns, skin soothing","","","","none","","FruitVeggy"
"Leek, Garden Leek","Allium Ampeloprasum","chest, ear, kidney","chest¤ear¤kidney","","","","","","Herb"
"Blackberry Lily","","chest, liver","chest¤liver","","","","","","Herb"
"Cabeza De Angel","","chest, eye","chest¤eye","","","","","","Herb"
"Khat (Kat, Cafta)","","chest, stomach","chest¤stomach, stomach aches","","","","","","Herb"
"Marsh-Pennywort","","genitals, lungs","Whorled: genitals, lungs¤Many-Flowered: kidney","","","","","","Herb"
"Kuthmithi","","digestive tract, uterus","intestine, rectum¤uterus","","","","","","Herb"
"Avens (Colewort, Herb Bennet)","Geum Urbanum, Radix Caryophyllata","mucous membranes,diarrhea,leucorrhea,hemorrhaging","astringent for mucous membranes¤contracts blood vessels, stop hemorrhages¤restore strength to disability.¤diarrhea¤leucorrhea (greenish-white vaginal discharge)","","","","","","Herb"
"Persimmon","Diospyros Virginiana","kidney, mouth, uterus, tonsillitis","mouth, lip¤kidney¤uterus¤tonsillitis","","","","","","Herb"
"Beggar's Tick","","ear, eye, digestion","stomach, intestine¤ear¤eye","","","","","","Herb"
"Scotch-Attorney","Clusia Rosea","chest","chest","","","","","","Herb"
"Tree Datura (Maikoa)","Brugmansia (Datura) spp.","chest","chest","","Amazon","source of ritualistic hallucinogens and medicines","","","Herb"
"Embelia","","chest","chest","","","","","","Herb"
"Strangler Fig","","chest, heart","chest¤heart","","","","","","Herb"
"Fragrant Bedstraw","","chest","chest","","","","","","Herb"
"Magnolia (Indian Bark)","","chest, lung","chest, lungs, colds","","","","","","Herb"
"Date","Phoenix Dactylifera","chest","chest","","","","","","Herb"
"Red Spruce","","chest, stomach","chest, stomach","","","","","","Herb"
"Yard Knotweed","","chest, lung, kidney","chest, lung¤kidney","","","","","","Herb"
"Kumarhou","","chest, kidney, skin","chest, kidney, skin","","","","","","Herb"
"Skunk Cabbage","Dracontium Foetidum","chest, skin","chest, skin","","","","","","Herb"
"Hellebore (Itchweed)","False Hellebore: Adonis Vernalis","chest, heart","chest, heart¤¤False Hellebore: heart disease, enlarged heart, heart ¤strain, tonic for heart muscle (1/4oz in pint boiling ¤water; no more than 1tbl every 2-3 hrs; take under ¤doctor's direction)¤Kidney","","","","use under doctor's direction","","Herb"
"Hercules' Club","","chest","chest","","","","","","Herb"
"Suran (Dhaura)","","chest","chest","","","","","","Herb"
"Asian Spider Flower","","ear","ear","","","","","","Herb"
"Pastureweed","","ear, heart","ear¤heart","","","","","","Herb"
"Lilac Tassel Flower","","ear, eye","ear¤eye","","","","","","Herb"
"Sandwicensis","","ear","ear","","","","","","Herb"
"Cathedral Bells","","ear","ear","","","","","","Herb"
"Water Lettuce","","ear, eye","ear¤eye","","","","","","Herb"
"Pumpkin Seed","Cucurbita Pepo","dizziness, prostate, worms","dizziness¤prostate enlargement¤intestinal worms","seeds from a large orange gord","","","powerful diuretic","","Other"
"Juliania Adstringens","Juliania Adstringens","esophagus","esophagus","","","","","","Herb"
"Maple","Red: Acer Rubrum","eye, skin","Red, Mountain: sore eye (eliminate fluid discharge)¤Red: skin","","","","","","Herb"
"Myrtle (Grass, Sweet)","Myrtus Communis, various species","eye, lungs, skin, uterus","eye¤lungs¤uterus¤Bog Myrtle (gale sweet): skin¤","","","","","","Herb"
"Jack-In-The-Pulpit","","eyes","eyes","","","","","","Herb"
"Baccharis Glutinosa","Baccharis Glutinosa","eyes","eye","","","","","","Herb"
"Berberis","Berberis Aristata","fevers, eye, like Golden Seal","fevers¤eye¤Similar to Golden Seal","","","","","","Herb"
"Koka (Javanese Bishopwood)","","eyes, throat","eyes¤throat","","","","","","Herb"
"Acacia (Gum Arabic)","Acacia Senegal, Acacia Arabica, Acacia Vera","burns, ulcers, loose teeth, diarrhea, cough/fever","applied to burn area¤soothoing effect on gum & mucous membranes¤ulcers (astringentr effect on affected tissues)¤Boiled in water becomes an adhesive placed around loose ¤teeth.¤Diarrhea (dysentary): drink small amount in liquid¤coughs.¤fever reduction¤","gum of bark of acacia tree","Egypt, N. Africa, Mid-East","Also called: gum acacia, Egyptian thorn, tamarisk","none","","Herb"
"Red Root (Jersey Tea Root)","Ceanothus Americanus","astringent, expectorant, asthma, mouthwash, throat","astringent, checks secretions from mucous membranes¤Expectorant, anti-spasmodic (stops spasms of asthma & ¤pulmonary complaints)¤mouthwash or mouth sores¤possible use as eye wash.¤Tonsillitis, sore throat, cough, thrush, throat infection¤For internal use: 1 tsp 3Xs/day.","root of herb","","","","1oz powdered root/1pint boiling water","Herb"
"Embrert","","eyes, liver","eyes¤liver","","","","","","Herb"
"Lemongrass","Cymbopogon, Citratus(West Indian); C. Flexuosus(East Indian)","eyes, intestine, anti-fungal, insect repellent","eyes¤intestine¤externally, as an oil: anti-fungal, athlete's foot, insect ¤repellent","","","West Indian used in cooking, East Indian in desserts","","","Herb"
"Wild Tantan","","eyes","eyes","","","","","","Herb"
"Tiger's Claw","","eyes","eyes¤","","","","","","Herb"
"Old Man's Whiskers","","eyes","eyes","","","","","","Herb"
"Sunflower","Helianthus Annuus","eyes, lungs, fertility, pain","eyes¤lungs¤male infertility (low sperm count)¤source amino acid arginine¤pain","seeds of flower","","source of phenylalanine","none","","Herb"
"Indian Heliotrope","","eyes, intestine","eyes¤intestine","","","","","","Herb"
"Shoe Back Plant","","eyes","eyes¤","","","","","","Herb"
"Jaborandi","Pilocarpus, various species","dry mouth, glaucoma","dry mouth¤glaucoma","","Brazil","","","","Herb"
"Honeyweed","","eyes","eyes","","","","","","Herb"
"Poorman's Pepperwort","","eyes, bowels, stomach","eyes¤intestines, stomach¤mouth","","","","","","Herb"
"Lion's Ear","Leonotis Nepetifolia","eyelid","eyelid¤mild psychoactive properties","","Africa","","mild psychoactive properties","","Herb"
"Skeleton Plant","","eye","eye","","","","","","Herb"
"Purple Loosestrife","","eye","eye","","","","","","Herb"
"Davis Mountain Rocktrumpet","","eye","eye","","","","","","Herb"
"Indian Pipe","","eye","eye","","","also called ova-ova, fit plant, ice plant","","","Herb"
"Arrow Weed","","eye","eye","","","","","","Herb"
"Rose, Multiflora","Rosa Multiflora","dry mouth, swelling","dry mouth¤swelling","","","","","Tea: 2-3 tsp per cup hot water","Herb"
"Pomegranate","Punica Granatum","diarrhea","astringent¤diarrhea","","","","","","FruitVeggy"
"Red Mangrove","","eye","eye","","","","","","Herb"
"Jojoba","Simmondsia Chinensis","eye, hair, head","eye¤hair, head¤may induce hair new growth","","","","","","Herb"
"Polynesian Plum","","eye, stomach","eye¤stomach","","","also called: Otaheite Apple","","","FruitVeggy"
